,count,title,poster,release_date,over_view
33,33,센트럴 파크,/t/p/w94_and_h141_bestv2/myGH5W6UD5sGNBFOLVjDH9ilenF.jpg,"5월 29, 2020",뉴욕 센트럴 파크에서 사는 오언 틸러먼 가족의 독특한 일상을 담아낸 코미디 뮤지컬 애니메이션. 그들은 공원을 콘도로 바꾸려 하는 호텔 상속녀를 막아야 한다.
34,34,고스트라이터,/t/p/w94_and_h141_bestv2/aekPKOzUhaOFrUrgFE31AekVg28.jpg,"11월  1, 2019",동네 서점에 유령이 나타나 소설 속 등장인물들을 현실 세계에 내보내기 시작한다. 네 명의 아이들이 힘을 합쳐 유령을 둘러싼 흥미진진한 수수께끼를 풀어야만 한다
35,35,트라잉,/t/p/w94_and_h141_bestv2/zZH9gyfCf33IBB1La8sDmteAxQN.jpg,"5월  1, 2020","니키와 제이슨은 아이를 원하지만, 뜻대로 되지 않는다. 그러나 아이 없이 50년 여생을 어떻게 보낼까? 두 사람은 모든 선택지를 곱씹어 본 후 아이를 입양하기로 결심하지만, 입양 과정은 또 그것대로 시련의 연속이다. 친구들은 어딘가 나사가 하나씩 빠진 것 같고, 가족은 엉뚱하고, 삶은 혼돈 그 자체인데, 과연 입양 위원회는 그들이 아이의 부모가 되는 것에 동의할 것인가?"
36,36,지하창고 사일로의 비밀,/t/p/w94_and_h141_bestv2/aD1ITkqEWR7VtgkLPfZaQ16FCgL.jpg,"5월  4, 2023","황폐해지고 유독한 물질로 가득한 미래, 수백 층 깊이의 지하 깊숙한 곳 거대한 저장고에 존재하는 공동체가 있고, 자기들을 지켜 준다고 믿는 규칙으로 가득한 그 사회에서 사는 남자들과 여자들이 있다."
37,37,피지컬,/t/p/w94_and_h141_bestv2/f9NDJfoIXZ7Db7SSZyNBVGf8fie.jpg,"6월 18, 2021","1980년대, 캘리포니아의 한 주부인 실라 루빈은 내면의 부정적인 목소리와 싸우며 남몰래 고통받고 있다. 그러던 어느 날 그녀는 에어로빅을 접하는데… 성공을 향한 여정에 나서며 루빈의 삶은 변화하기 시작한다"
38,38,용의자들,/t/p/w94_and_h141_bestv2/muLbLW8kWOSiEBLgmHeAw6gKpB0.jpg,"2월  4, 2022","4명의 평범한 영국인이 미국의 저명한 언론계 거물의 아들을 납치했다는 혐의를 받는다. 이들은 시간과 싸우며 자신들의 결백을 밝히는 절박한 경주를 시작하지만, 누가 그들을 믿을 것이며, 또한 과연 그들은 진실을 말하고 있을까?"
39,39,배드 시스터즈,/t/p/w94_and_h141_bestv2/tNer6gprt5gFGJzjar2NUHP2sn.jpg,"8월 19, 2022",친밀한 관계의 가비 자매들은 늘 서로를 보살펴 왔다. 자매들의 형부가 죽자 형부의 생명 보험 회사는 악의에 의한 살인임을 입증하기 위한 수사를 시작하고 살인 동기가 충분한 자매들에게 집중한다.
40,40,애프터파티,/t/p/w94_and_h141_bestv2/yNL5TIh8e9NXm1WK2BYY7TcIvvz.jpg,"1월 28, 2022","고등학교 동창회의 뒤풀이가 충격적인 죽음으로 끝나고, 모두가 용의자가 된다. 형사는 옛 반 친구들을 한 명씩 조사해 살인 동기를 밝혀내려고 하고, 그들은 자신들의 관점에서 그날 밤 일을 얘기한다. 그리고 결국, 놀라운 진실이 드러난다."
41,41,슈미가둔!,/t/p/w94_and_h141_bestv2/s2Z5Rm7H0DFHX8cF0CQjIFOd6Am.jpg,"7월 16, 2021",1940년대 뮤지컬을 패러디한 코미디. 함께 배낭여행을 떠난 멀리사와 조시 커플은 춤과 노래로 가득한 신비로운 마을 슈미가둔에 갇히게 된다. 진정한 사랑을 찾기 전까지는 떠날 수 없다는 이곳. 이미 자격이 된다고 생각했던 두 사람은 어쩐지 미궁 속을 헤맨다
42,42,존 스튜어트의 이슈,/t/p/w94_and_h141_bestv2/bSoMxBoLshQ1l490cpaMY1tREPR.jpg,"9월 30, 2021","세상에 만연한 문제를 살피다 보면 그 막막함에 그저 압도되어 버리기 쉽다. 대체 어디서부터 잘못된 건지, 원인을 정확히 집어내기란 더 어려운 일이다. 존 스튜어트는 특정 문제로 인해 영향을 받은 사람들을 만나 변화를 일으킬 수 있는 방법에 대해 논한다"
