,Unnamed: 0,title,poster,release_date,over_view
13,13,시간의 수레바퀴,/t/p/w94_and_h141_bestv2/mpgDeLhl8HbhI03XLB7iKO6M6JE.jpg,"11월 18, 2021",마을에 처음 보는 강력한 여성이 나타나 다섯 청년의 인생을 송두리째 바꿔놓을 주장을 한다. 그들 중 한 사람이 고대 예언에 나온 빛과 어둠의 균형을 영원히 바꿔놓을 힘을 가진 아이라는 것. 청년들은 세계의 운명을 걸고 이 낯선 여성과 서로를 믿을지 결정해야 한다. 어둠의 존재가 구속에서 벗어나 최후의 싸움이 시작되기 전에.
14,14,복스 마키나의 전설,/t/p/w94_and_h141_bestv2/4fqfhmVNOHe2nLcligiVMtMnfeM.jpg,"1월 27, 2022",미국의 인기 TRPG 인터넷 방송 크리티컬 롤이 플레이한 캠페인 복스 마키나를 원작으로 한 애니메이션 더 레전드 오브 복스 마키나는 성인 애니메이션 판타지 어드벤쳐 시리즈이다.
15,15,터미널 리스트,/t/p/w94_and_h141_bestv2/71f3JHlJCP6V7LhHHiKZgjtFxZw.jpg,"6월 30, 2022","은밀하고 위험한 임무를 하던 제임스 리스의 네이비실 소대가 기습당한 이후를 그렸다. 리스는 사건에 관한 상충하는 기억과 책임에 대한 의문을 품은 채 가족이 있는 집으로 돌아온다. 하지만, 새로운 증거가 떠오르면서 리스는 자신은 물론 사랑하는 사람들을 위험에 빠트리는 어두운 세력이 움직이고 있음을 알게 된다."
16,16,도로로,/t/p/w94_and_h141_bestv2/yqPESGckTZtGx0LVelIAEF7KSqX.jpg,"1월  7, 2019",주인공 햣키마루(百鬼丸)는 태어나기도 전에 친부가 그 육체를 요괴들에게 팔아버린 남자이다. 때문에 신체의 48개 부분이 결손된 상태로 태어났으며 강가에 버려진 것을 쥬카이라는 의사의 손에 거두어져 결손된 부분을 기계로 대체한다. 요괴들에게서 몸을 되찾기 위해 여행하던 햣키마루는 꼬마 도적 도로로를 만나고 함께 다니게 되는데...
17,17,인빈시블,/t/p/w94_and_h141_bestv2/yDWJYRAwMNKbIYT8ZB33qy84uzO.jpg,"3월 25, 2021",마크 그레이슨은 17살에 슈퍼파워를 물려받자 아버지와 함께 지구에서 가장 위대한 영웅 중 하나가 된다. 드디어 꿈이 이루어졌지만 충격적인 사건이 모든 것을 뒤흔든다.
18,18,La cabeza de Joaquín Murrieta,/t/p/w94_and_h141_bestv2/v9qDbKohdhfu3nqTbNWb103Xeo7.jpg,"2월 17, 2023",정보 없음
19,19,톰 클랜시의 잭 라이언,/t/p/w94_and_h141_bestv2/z8yXhmNmc54TsMK2Ig4V4SHdkOX.jpg,"8월 30, 2018",CIA 분석가 잭 라이언과 새로운 보스 제임스 그리어는 수상한 금융 거래의 패턴을 추적하여 유럽과 중동을 오가며 떠오르는 테러리스트 수장 간 쫓고 쫓기는 게임에 뛰어든다. 새로운 테러리스트는 미국과 동맹국을 향해 대규모 공격을 준비한다.
20,20,데블스 아워,/t/p/w94_and_h141_bestv2/mFU6ZPAs6g8Y9Eld28GULJYt3rC.jpg,"10월 28, 2022",루시는 매일 밤 정확히 오전 3시 33분에 잠에서 깨어난다. 오랫동안 그녀의 인생에서는 납득되는 일이 없었지만 어딘가에 답은 존재한다. 잔혹한 살인 사건들의 흔적 끝에.
21,21,컨설턴트,/t/p/w94_and_h141_bestv2/dbmnbPdDIgH9RR1Cs0SkG4DaYgF.jpg,"2월 23, 2023","상사와 직원 간의 해로운 관계를 다룬 뒤틀린 코미디 스릴러 시리즈다. 앱 기반의 게임 회사 '컴프웨어'를 개선하기 위해 새로운 컨설턴트 리저스 패토프(크리스토프 발츠)가 고용된 이후, 직원들은 새로운 요구사항과 과제를 마주하게 되고 모든 것이 의문에 휩싸인다. 그들의 인생까지도."
22,22,모던 러브,/t/p/w94_and_h141_bestv2/cP9CJ9nvPT3cnnBSlGFgwq7odIR.jpg,"10월 18, 2019","사랑은 모든 규칙을 깬다. 이 앤솔러지 시리즈는 실제 사건에서 영감을 받았으며, 인간관계, 유대감, 배신, 폭로에 관한 다양한 이야기를 다룬다."
