,count,title,poster,release_date,over_view
15,15,디즈니 갤러리 / 스타워즈: 만달로리안,/t/p/w94_and_h141_bestv2/31P3NAMgtWz7Ejmj6uNHUzMxDWq.jpg,"5월  4, 2020","디즈니 플러스의 시리즈 ""만달로리안"" 제작 당시의  비하인드 씬들을 담았다."
16,16,왓 이프...?,/t/p/w94_and_h141_bestv2/5MfM1YZTby5EsIiPsEyuc5SWfSZ.jpg,"8월 11, 2021","마블시네마틱 유니버스(MCU)의 내용을 반전시켜, 영화의 유명 사건들을 기발한 방법으로 다시 그려낸다. 마블 스튜디오의 첫 애니메이션 시리즈로 MCU의 다양한 영웅들 중심으로 내용이 전개 되며, 그 역을 맡았던 유명 스타들이 목소리 출연진으로 나온다."
17,17,오비완 케노비,/t/p/w94_and_h141_bestv2/oy2y5oKXsjwdD4uFf6aAG4221xa.jpg,"5월 26, 2022","2022년 5월 Disney+에서 방영을 시작한 스페이스 오페라. 아나킨에게  인생 최악의 패배를 겪은 오비완 케노비. 절친한 벗이자 제다이 견습생었던 아나킨 스카이워커가 타락하여 사악한 시스 군주 다스 베이더가 되어 버린 후 10년이 흐른 지금. 암울한 시대, 희망의 불씨를 되살려낼 그가 돌아온다. 다시 한 번 제다이로서 임무를 수행해 내기 위해."
18,18,"러브, 빅터",/t/p/w94_and_h141_bestv2/xnZYv0myYIhKW0iPDTh697n5qu0.jpg,"6월 17, 2020","많은 호평을 받은 베키 앨버탤리의 소설 '사이먼 vs 더 호모 사피엔스 아젠다'에서 영감을 얻은 2018년의 획기적인 영화 '러브, 사이먼'의 세계를 배경으로 하는 이 시리즈는 집에서 어려움을 겪고, 새로 온 도시에 적응해야 하며, 자신의 성적 지향으로 고군분투하는 크릭우드 고등학교의 전학생 빅터의 여정을 따라간다. 모든 일이 지나치게 힘든 듯 보이자 빅터는 사이먼에게 새 고등학교 생활의 기복을 헤쳐나갈 수 있게 도와달라고 부탁한다."
19,19,팔콘과 윈터 솔져,/t/p/w94_and_h141_bestv2/lyB5NKAJvUezBpXIIFiGATXrZHv.jpg,"3월 19, 2021",2021년 3월 Disney+에서 방영을 시작한 미니시리즈. 어벤져스: 엔드게임 이후로 다시 뭉친 두 사람은 팀을 이루어 세계를 무대로 모험을 펼치며 자신들의 능력과 인내심을 시험받는다.
20,20,미즈 마블,/t/p/w94_and_h141_bestv2/5K0F6lYosnp162drTXTJD9Pisp6.jpg,"6월  8, 2022","저지시티에 사는 미국인 무슬림 가정의 10대 소녀 카말라 칸. 게임에 죽고 사는 그녀는 열렬한 팬픽션 작가이자 슈퍼 히어로 덕후로 특히 캡틴 마블에 대한 팬심은 상상을 초월한다. 그러던 어느 날, 그토록 우러러보던 슈퍼 히어로처럼 카말라에게도 슈퍼 파워가 생기는데. 지금껏 학교에서도, 때로는 집에서도 겉돌던 그녀의 인생, 이제 슈퍼 파워가 생겼으니 폼 나게 달라지려나?"
21,21,카 여행을 떠나요,/t/p/w94_and_h141_bestv2/uT3bmwLIvnYyjLVnnlVoTI3OQUr.jpg,"9월  8, 2022","라이트닝 맥퀸과 그의 가장 친한 친구인 메이터는 라디에이터 스플이스를 떠나 동쪽을 향하면서, 메이터의 누나를 만나기 위한 국토 횡단 도로 여행을 떠난다."
22,22,스타워즈: 제다이 이야기,/t/p/w94_and_h141_bestv2/zMiZoeGjae3pm4VARDEHYfMfEQB.jpg,"10월 26, 2022",6개의 우화를 통해 앞 시기의 제다이에 대해 이야기한다. 아소카 타노와 두쿠 백작이라는 확연히 다른 두 제다이의 삶으로 여정을 떠난다. 그들에게 시험이 주어지고 각자 자신의 운명을 규정할 선택을 하게 된다.
23,23,언제나 나 였어,/t/p/w94_and_h141_bestv2/d51K3AZjg7IRZwOcREOgV2qp1EK.jpg,"6월 15, 2022","22살이 되던 해, 루페는 콜롬비아의 유명한 싱어송라이터인 아빠의 죽음을 맞이하고, 그녀의 삶은 갑자기 바뀌기 시작한다. 콜롬비아로 향한 루페는 아빠의 조수였던 노아를 만난다. 루페는 멕시코로 돌아가려 했지만, 아빠의 죽음이 사고가 아니라는 의심을 품으며 콜롬비아에 남기로 한다. 콜롬비아 카리브해에서 노아와 루페의 로맨스, 미스터리, 음악으로 가득한 여정이 시작된다."
24,24,마블 스튜디오: 레전드,/t/p/w94_and_h141_bestv2/EpDuYIK81YtCUT3gH2JDpyj8Qk.jpg,"1월  8, 2021","마블 영화의 세계관이 지속적으로 확장되자 마블 스튜디오의 레전드는 이전의 내용을 찬양하고 체계화한다. 앞으로 전개될 이야기를 준비하는 과정에서 마블 영화의 세계관에 등장하는 서사적인 영웅, 악당, 그리고 중요한 장면을 다시 들여다본다. 디즈니 플러스에서 개봉할 시리즈에서는 각각의 이야기가 역동적으로 펼쳐지며, 이 이야기들은 미래에 전개될 사건의 발판이 된다. 마블 스튜디오의 레전드는 마블 영화 세계관을 구성하는 수많은 실타래를 한데 엮는다."
25,25,내셔널 트레져: 숨겨진 이야기,/t/p/w94_and_h141_bestv2/hwrscEuD6gcKhlSvAF9DA1CltvA.jpg,"12월 14, 2022","역사상 가장 위대한 보물을 수색하는 동안, 제스 발렌수엘라는 그녀의 가족에 얽힌 사연을 점차 알아가게 된다."
26,26,커넥트,/t/p/w94_and_h141_bestv2/rnX9WtKW9iCIjGA09TDXWFp3BOZ.jpg,"12월  7, 2022","정체를 숨기며 살아야 하는 고독한 동수, 작곡한 음악을 인터넷에 업로드하며 세상과 소통하는 게 유일한 행복이다. 어느 날 장기헌터에게 납치되면서 평범하게 살고 싶다는 그의 소망은 파괴되고, 한쪽 눈마저 잃게 된다. 그 이후로 동수는 자기 눈을 이식받은 사람과 시각이 연결되기 시작하는데... ‘이 사람 살인마다!’ 빼앗긴 눈을 되찾기 위해 살인마를 쫓으면서 벌어지는 미스터리 스릴러."
27,27,미지의 땅,/t/p/w94_and_h141_bestv2/xx0oX2uupYYNRnCQUsdmUFBdXJC.jpg,"9월  8, 2022",에릭은 케이프 쿼트로 돌아가 부모님의 미스터리한 행방불명 사건을 해결하기로 한다. 고향으로 돌아간 그는 친구와 적을 만나고 마을의 공포 테마 놀이동산 미스터리의 비밀을 밝히려고 하는데...
