,id,title,genre_ids,vote_average,vote_count,poster_path
36,1002695,Mirreyes vs. Godínez 2: El retiro,['Comedy'],7.5,51,/t/p/w94_and_h141_bestv2/ba6CNrM9CdSVGR61NUHJ1uDfmLz.jpg
37,560057,The Sea Beast,"['Animation', 'Adventure', 'Family', 'Fantasy']",7.7,611,/t/p/w94_and_h141_bestv2/axtQ6KM40hpwhcEJy0UNZ9rXOLV.jpg
38,526896,Morbius,"['Action', 'Science Fiction', 'Fantasy']",6.5,2310,/t/p/w94_and_h141_bestv2/8uiV88A5eB7PjMTtY6lQBUZ0Cpl.jpg
39,568124,Encanto,"['Animation', 'Comedy', 'Family', 'Fantasy']",7.7,7117,/t/p/w94_and_h141_bestv2/b8gz7UKMwMz39mz6EH5Jjicjdth.jpg
40,818397,Memory,"['Action', 'Thriller', 'Crime']",7.3,668,/t/p/w94_and_h141_bestv2/fWkFnlCQLtfIBGnhMKVw2dttEDk.jpg
41,335787,Uncharted,"['Action', 'Adventure']",7.2,3050,/t/p/w94_and_h141_bestv2/2R8smeSDkPx6TKIRveKPXi0JVI6.jpg
42,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"['Animation', 'Action', 'Adventure', 'Fantasy']",8.4,2606,/t/p/w94_and_h141_bestv2/mxdVTei65ymzhJlalIEtR1qSgV2.jpg
43,414906,The Batman,"['Crime', 'Mystery', 'Thriller']",7.8,5846,/t/p/w94_and_h141_bestv2/zGgrDMJCnE0s4EDX0L4X1wXFgZv.jpg
44,975714,Collision,"['Thriller', 'Crime', 'Drama']",6.0,106,/t/p/w94_and_h141_bestv2/4zsihgkxMZ7MrflNCjkD3ySFJtc.jpg
45,777831,9 Bullets,"['Action', 'Thriller']",5.6,52,/t/p/w94_and_h141_bestv2/cuFPxoFopAjFUz4oIMUzpzeTA8I.jpg
46,998771,Si saben cómo me pongo ¿Pa' qué me invitan? 2,['Comedy'],2.0,2,/t/p/w94_and_h141_bestv2/bFRxPAiyA7dhTLrEcitAjLL02BJ.jpg
